,Company Name,Cash Flow,PE Ratio,PBV,ICR,ROE,ROCE
101,Bajaj Hindustha,-30,-2.35,0.31,"['-0.11', '0.83', '0.58', '0.26']","['-13.06', '-1.95', '-4.89', '-17.87']","['-0.38', '2.90', '2.11', '1.84']"
102,Longview Tea,0,-1.80,0.22,"['-1,177.28', '38,110.55', '1,113.04', '4.28']","['-11.93', '2.18', '0.15', '0.17']","['-14.83', '2.95', '0.39', '1.93']"
103,Superior Ind,0,7.78,0.37,"['0.56', '0.59', '-0.11', '-0.29']","['4.72', '-0.76', '-1.33', '-2.10']","['0.62', '0.80', '-0.15', '-0.41']"
104,Silver Oak Comm,0,-0.09,-0.19,"['-5.28', '1.14', '1.40', '1.38']","['0.00', '4.88', '10.47', '-2.20']","['-5,757.97', '21.75', '23.97', '-1.07']"
105,Sakthi Sugars,-5,-0.95,-0.40,"['0.10', '-0.03', '0.17', '-0.53']","['0.00', '0.00', '-474.13', '-68.54']","['22.29', '16.74', '18.38', '-10.18']"
106,Sun Retail,0,0.00,1.63,"['-2,886.01', '-168.99', '-221.07', '280.24']","['-0.94', '-0.55', '-2.48', '4.45']","['-0.85', '-0.50', '-2.13', '3.90']"
107,Prime Industrie,0,37.45,0.58,"['1.72', '2.74', '1.35', '1.14']","['1.50', '10.71', '1.52', '0.85']","['3.57', '16.87', '6.18', '8.36']"
108,Beeyu Overseas,0,88.00,5.00,"['--', '--', '--', '--']","['6.26', '29.47', '-358.44', '-14.38']","['0.58', '-1.43', '-17.71', '-7.04']"
109,Vaghani Techno,0,-975.00,0.71,"['16.16', '-0.20', '-2.87', '232.63']","['-0.07', '-0.35', '-1.92', '6.32']","['1.15', '-0.07', '-1.91', '6.35']"
110,Simbhaoli Sugar,-6,-5.46,-0.96,"['0.83', '0.18', '0.70', '-2.70']","['0.00', '0.00', '-336.31', '-318.00']","['15.47', '6.29', '17.39', '-31.10']"
111,Himalaya Food,0,22.45,0.92,"['6.30', '31.68', '-24.18', '0.97']","['4.05', '16.64', '-132.58', '-0.69']","['0.57', '6.13', '-27.33', '7.06']"
112,Magadh Sugar,0,5.31,0.26,"['1.77', '2.90', '2.52', '1.09']","['4.85', '15.48', '7.49', '5.87']","['14.47', '20.49', '15.89', '8.33']"
113,Flex Foods,6,8.05,0.91,"['8.35', '3.29', '4.32', '3.94']","['11.32', '7.17', '12.30', '8.62']","['15.27', '7.65', '13.24', '13.72']"
114,Uttam Sugar,8,5.81,1.02,"['2.28', '2.07', '1.92', '1.30']","['17.68', '18.10', '24.81', '9.65']","['31.26', '28.59', '26.34', '21.24']"
115,KCP Sugar,-4,6.62,0.53,"['1.96', '0.51', '2.72', '0.80']","['7.43', '-2.16', '5.49', '4.08']","['9.95', '2.94', '15.13', '3.55']"
116,Dhunseri Tea,-5,3.92,0.21,"['6.91', '0.42', '6.71', '4.13']","['3.59', '8.86', '3.70', '4.02']","['6.42', '0.44', '5.32', '3.31']"
117,Sir Shadi Lal,3,-1.31,-0.17,"['-0.09', '1.13', '-0.66', '-0.27']","['0.00', '-2.99', '0.00', '0.00']","['-0.33', '-75.39', '232.45', '22.33']"
118,Tanvi Foods,0,0.00,0.94,"['1.51', '1.80', '1.70', '1.60']","['3.44', '6.36', '6.55', '5.66']","['8.80', '12.69', '13.62', '17.76']"
119,Sheetal Cool Pr,3,0.00,3.15,"['2.33', '3.75', '3.44', '5.68']","['11.12', '20.14', '5.31', '11.15']","['15.46', '15.20', '11.97', '13.21']"
120,Rana Sugars,17,0.94,0.44,"['5.68', '2.55', '0.26', '0.12']","['47.07', '151.22', '0.00', '-659.24']","['21.67', '16.08', '22.57', '5.13']"
