,Company Name,Cash Flow,PE Ratio,PBV,ICR,ROE,ROCE
84,Tech Mahindra,-326,19.58,3.48,"['35.21', '27.39', '43.11', '31.04']","['17.81', '18.48', '21.18', '20.16']","['20.83', '19.88', '24.83', '22.38']"
85,Subex,52,37.03,3.64,"['30.22', '15.18', '22.80', '3.94']","['9.42', '-52.22', '3.17', '2.65']","['14.20', '14.47', '6.03', '2.61']"
86,Xelpmoc Design,0,87.16,6.01,"['81.25', '-25.00', '-4,060.21', '-1,008.23']","['6.89', '-4.84', '-12.26', '-18.75']","['6.14', '-3.87', '-10.61', '-14.82']"
87,Intense Tech,7,3.94,0.91,"['37.80', '34.53', '13.24', '4.31']","['23.04', '28.54', '19.88', '-1.24']","['26.96', '32.97', '20.93', '8.73']"
88,CG-Vak Software,4,7.25,1.60,"['34.45', '16.30', '805.54', '342.58']","['22.00', '15.06', '16.88', '8.10']","['27.80', '20.07', '23.72', '11.33']"
89,Zee Learn,-2,-38.33,0.73,"['0.96', '2.47', '3.42', '4.95']","['-1.89', '9.28', '17.35', '13.94']","['4.52', '12.41', '13.68', '11.32']"
90,Tanla Platforms,383,32.20,12.44,"['386.89', '-28.12', '105.46', '--']","['39.87', '-30.09', '4.11', '2.77']","['45.93', '-25.15', '4.41', '1.83']"
91,Ram Informatics,0,11.39,1.10,"['13.57', '2.29', '3.40', '4.83']","['9.67', '4.44', '11.13', '11.70']","['13.66', '7.23', '12.80', '11.53']"
92,Zensar Tech,-139,20.58,2.64,"['10.01', '7.21', '12.94', '16.51']","['12.80', '12.60', '16.14', '14.47']","['19.87', '17.06', '22.56', '21.18']"
93,HCL Info,-16,-1.48,-1.22,"['-2.72', '-1.66', '-0.13', '-0.22']","['0.00', '0.00', '-129.81', '-345.78']","['79.71', '1,125.45', '-7.57', '-7.37']"
94,Sonata,268,21.69,5.84,"['23.88', '26.00', '103.28', '55.00']","['26.94', '41.35', '32.44', '29.47']","['36.47', '50.25', '43.13', '28.12']"
95,Tera Software,-2,56.49,0.44,"['1.18', '2.06', '1.84', '1.32']","['0.77', '5.99', '3.58', '1.59']","['8.80', '17.07', '12.46', '9.39']"
96,MphasiS,-216,27.26,5.11,"['26.71', '19.66', '82.03', '88.77']","['18.64', '20.32', '20.44', '15.27']","['23.34', '24.24', '26.49', '14.99']"
97,Tree House,0,-0.76,0.10,"['-4.79', '-5.88', '-6.27', '-12.02']","['-13.94', '-8.54', '-10.65', '-24.58']","['-9.12', '-7.57', '-9.09', '-17.04']"
98,Mindtree,368,30.90,7.95,"['30.73', '16.67', '341.28', '44.92']","['25.71', '19.98', '22.80', '20.79']","['32.47', '23.00', '29.77', '20.72']"
99,Cambridge Tech,12,5.69,0.67,"['17.64', '3.19', '14.79', '8.44']","['11.78', '6.48', '30.81', '22.65']","['12.78', '9.63', '32.80', '23.63']"
100,COFORGE LTD.,-19,39.19,7.20,"['43.95', '39.87', '62.74', '43.94']","['18.47', '18.52', '19.46', '15.79']","['23.53', '23.35', '25.57', '19.80']"
101,Parle Indus,0,-25.94,0.63,"['--', '--', '4.52', '49.86']","['-2.43', '0.24', '4.61', '0.02']","['-3.83', '0.71', '8.55', '0.05']"
102,COSYN,-1,-37.31,0.56,"['-1.36', '4.79', '5.50', '13.37']","['-1.48', '5.35', '6.94', '24.43']","['-0.84', '8.42', '11.76', '30.66']"
103,L&T Technology,-40,41.91,8.03,"['20.72', '31.14', '543.84', '283.42']","['19.09', '29.56', '30.88', '26.13']","['23.72', '34.82', '41.30', '26.06']"
104,Prithvi Exc,0,0.00,0.58,"['-12.35', '25.55', '121.87', '162.91']","['-7.15', '7.48', '9.32', '7.59']","['-8.79', '10.61', '14.77', '12.10']"
105,OnMobile Global,2,19.94,1.47,"['67.69', '25.03', '413.00', '276.40']","['7.34', '4.67', '3.33', '1.96']","['9.78', '5.92', '5.29', '5.04']"
106,Firstsource Sol,-53,21.45,2.83,"['11.47', '7.76', '16.03', '9.86']","['12.92', '12.28', '13.88', '13.88']","['17.47', '13.89', '16.71', '11.98']"
107,Paramone,0,7.21,2.12,"['2.20', '-0.54', '-5.10', '11.98']","['29.42', '-40.51', '-20.37', '2.66']","['31.13', '-4.46', '-11.74', '3.44']"
108,PCS,0,23.57,0.25,"['2.80', '3.66', '2.45', '3.62']","['1.07', '-12.75', '-4.75', '5.75']","['2.37', '3.97', '2.37', '5.69']"
109,Kernex Micro,2,41.02,1.32,"['2.42', '1.58', '-5.97', '-3.19']","['3.22', '5.80', '-38.35', '-19.31']","['5.33', '14.79', '-24.40', '-13.66']"
110,California Soft,0,60.36,2.06,"['--', '--', '--', '--']","['-3.38', '0.95', '-3.15', '7.17']","['-4.54', '1.28', '10.13', '8.81']"
111,Smartlink Net,0,10.73,0.58,"['8.41', '-3.30', '2.07', '2.39']","['5.36', '-7.64', '-0.95', '-1.03']","['5.28', '-4.27', '0.72', '0.14']"
112,Virtual Global,0,68.00,0.46,"['20.02', '2.76', '3.14', '12.85']","['0.46', '0.37', '0.74', '3.86']","['0.66', '0.91', '1.50', '5.74']"
113,Ducon Infratech,0,300.00,0.73,"['1.04', '1.57', '1.81', '1.50']","['0.28', '7.11', '8.06', '3.22']","['8.38', '19.13', '12.52', '8.10']"
114,Tatia Skylines,0,0.00,0.46,"['-42,909.04', '-109.80', '294.73', '27,986.50']","['-6.84', '-1.03', '1.18', '1.77']","['-6.83', '-0.73', '1.92', '2.98']"
115,Svam Software,0,79.00,0.14,"['--', '1.80', '2.53', '5.74']","['0.13', '0.04', '0.49', '0.65']","['0.30', '0.28', '0.21', '0.70']"
116,Megasoft,0,19.21,0.37,"['1.34', '1.10', '1.11', '1.21']","['1.62', '0.62', '0.30', '1.25']","['4.50', '4.80', '4.58', '4.31']"
