,Company Name,PE Ratio,ROE,Net Profit,EPS,Cash Flow,Cash Conversion Cycle
79,Balmer Lawrie Investment Ltd,12.6,47.8,"['1.69', '1.62', '79.04', '1.47', '1.44', '1.49', '80.86', '1.02']","['0.76', '0.73', '35.61', '0.66', '0.65', '0.67', '36.43', '0.46']","['7', '8', '9', '9', '9']","['0', '0', '0', '0', '0']"
80,Choice International Ltd,20.8,7.66,"['9', '-1', '7', '2', '4', '11', '-1', '4']","['3.66', '-0.36', '2.70', '0.93', '1.70', '4.44', '-0.36', '1.45']","['1', '-2', '1', '0', '3']","['24', '86', '-8', '274', '-499']"
81,Nalwa Sons Investments Ltd,12.6,1.01,"['43.67', '-4.80', '19.86', '2.60', '1.95', '8.82', '23.00', '3.45']","['85.02', '-9.35', '38.67', '5.06', '3.80', '17.17', '44.78', '6.72']","['1', '-1', '4', '-4', '1']","['88', '26', '42', '55', '31']"
82,Nahar Capital & Financial Services Ltd,3.63,6.65,"['-7', '3', '-5', '13', '-7', '1', '-1', '24']","['-3.92', '2.07', '-2.91', '7.85', '-4.07', '0.56', '-0.46', '14.22']","['-0', '-0', '1', '-0', '0']","['-0', '-0', '-0', '-0', '-0']"
83,GIC Housing Finance Ltd,3.75,8.06,"['51', '15', '-10', '14', '26', '-56', '21', '61']","['9.47', '2.77', '-1.85', '2.64', '4.91', '-10.35', '3.83', '11.32']","['-89', '51', '36', '-57', '-14']",[]
84,Kalyani Investment Company Ltd,11.9,1.04,"['9', '9', '16', '18', '5', '5', '7', '10']","['19.49', '20.96', '36.24', '41.99', '10.86', '10.47', '17.00', '23.50']","['0', '-0', '2', '-2', '0']","['-0', '-0', '-0', '-0', '-0']"
85,Summit Securities Ltd,13.8,0.51,"['2.98', '-0.91', '36.48', '0.02', '36.46', '4.18', '2.17', '6.49']","['2.73', '-0.83', '33.46', '0.02', '33.44', '3.83', '1.99', '5.95']","['-7', '4', '4', '-4', '-3']","['1,849', '1,095', '1', '0', '0']"
86,GFL Ltd,,-14.0,"['579.55', '12.64', '-3.72', '4.10', '-136.41', '-102.49', '-35.61', '-50.57']","['52.73', '1.15', '-0.34', '0.37', '-12.41', '-9.33', '-3.24', '-4.60']","['-110', '-73', '244', '-233', '-22']","['102', '49', '136', '155', '101']"
87,Satin Creditcare Network Ltd,30.8,-0.93,"['55', '41', '55', '48', '12', '13', '13', '-82']","['8.19', '5.75', '7.60', '6.62', '1.73', '1.78', '1.78', '-11.38']","['59', '17', '7', '163', '17']","['22', '1,134', '1,238', '1,758', '1,492']"
88,VLS Finance Ltd,2.60,10.6,"['-2', '-2', '-24', '-17', '83', '12', '31', '74']","['-0.56', '-0.48', '-6.30', '-4.32', '21.40', '3.07', '7.98', '19.11']","['17', '7', '-23', '13', '0']","['13', '28', '14', '13', '2']"
