,Company Name,Cash Flow,PE Ratio,PBV,ICR,ROE,ROCE
125,MAS Financial S,-58,32.30,3.96,"['1.69', '1.78', '2.05', '1.90']","['12.23', '16.96', '16.62', '13.41']","['29.18', '45.19', '14.24', '15.52']"
126,IFCI,-347,-1.17,0.64,"['-0.82', '0.94', '0.62', '1.21']","['-54.87', '-4.56', '-9.12', '6.50']","['-6.77', '8.58', '4.80', '9.22']"
127,Manappuram Fin,-747,7.31,1.73,"['2.04', '2.10', '2.08', '2.01']","['23.59', '25.68', '20.69', '17.72']","['23.83', '26.90', '26.77', '21.77']"
128,LKP Finance,3,0.00,0.37,"['28.00', '-9.16', '12.05', '5.08']","['23.94', '-15.74', '11.66', '13.68']","['27.41', '-14.06', '16.80', '18.15']"
129,KJMC Fin Ser,0,0.00,0.10,"['-1.12', '-0.27', '0.48', '1.54']","['-2.14', '-6.10', '-3.04', '4.07']","['-1.34', '-1.21', '2.14', '3.77']"
130,Dhunseri Invest,6,1.15,0.10,"['30.81', '0.58', '3.90', '4.15']","['8.43', '0.24', '10.36', '13.27']","['6.45', '0.21', '14.00', '12.10']"
131,K K Fincorp,0,39.38,0.29,"['--', '--', '--', '-13.47']","['0.73', '2.87', '2.50', '1.26']","['-0.62', '0.46', '1.00', '-0.74']"
132,Vibrant Global,7,0.00,0.70,"['4.73', '-1.96', '-0.42', '1.00']","['50.30', '-70.84', '-22.49', '-0.40']","['50.58', '-40.39', '-5.85', '6.24']"
133,Elixir Cap,8,1.82,0.58,"['15.37', '-23.53', '-0.17', '41.38']","['31.86', '-18.69', '-0.82', '11.71']","['35.89', '-15.13', '-0.11', '16.04']"
134,Millennium,0,-11.75,0.96,"['-681.73', '--', '--', '616.94']","['-7.86', '-1.05', '0.61', '0.50']","['-7.65', '-0.71', '0.45', '0.37']"
135,Kanani Ind,0,102.50,0.72,"['1.48', '4.10', '3.36', '1.76']","['0.77', '4.53', '4.14', '1.62']","['2.87', '5.95', '5.70', '4.05']"
136,Urja Global,0,218.33,2.10,"['4.43', '3.21', '1.81', '0.64']","['1.06', '0.72', '0.00', '-0.56']","['1.60', '1.52', '0.75', '0.32']"
137,Photon Capital,0,-26.38,0.36,"['-42.80', '-866.00', '164.80', '--']","['-1.34', '-4.55', '0.69', '20.36']","['-0.20', '-4.06', '0.73', '18.95']"
